listing_id,title,price,expiration_date,location,url,auction_status,category,collected_at
335325,"Butas 1 kamb., 17,04 kv. m Vilniaus m. sav. Vilniaus m. Mūrinės Vokės g. 7-5",10449.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Mūrinės Vokės g. 7-5,https://www.eaukcionai.lt/evs/pages/auction.do?id=336516&number=335325,Paskelbtas,Apartments,2026-09-08 17:50:08
335327,"Neįrengta palėpė 141/1000 dalis, 109,98 kv. m Vilniaus m. sav. Vilniaus m. Naujininkų g. 7",2673.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Naujininkų g. 7,https://www.eaukcionai.lt/evs/pages/auction.do?id=336518&number=335327,Paskelbtas,Apartments,2026-09-08 17:50:08
335329,"Neįrengta pastogė 639/10000 dalis, 223,24 kv. m Vilniaus m. sav. Vilniaus m. Povilo Plechavičiaus g. 7",660.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Povilo Plechavičiaus g. 7,https://www.eaukcionai.lt/evs/pages/auction.do?id=336519&number=335329,Paskelbtas,Apartments,2026-09-08 17:50:08
335332,"Neįrengta pastogė 1373/16347 dalis, 163,47 kv. m Vilniaus m. sav. Vilniaus m. Pylimo g. 31A",4437.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Pylimo g. 31A,https://www.eaukcionai.lt/evs/pages/auction.do?id=336521&number=335332,Paskelbtas,Apartments,2026-09-08 17:50:08
335335,"Neįrengta pastogė 163/1000 dalis, 46,02 kv. m Vilniaus m. sav. Vilniaus m. Pylimo g. 38-45",1434.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Pylimo g. 38-45,https://www.eaukcionai.lt/evs/pages/auction.do?id=336523&number=335335,Paskelbtas,Apartments,2026-09-08 17:50:08
335338,"Butas 2 kamb., 38,6 kv. m Vilniaus m. sav. Vilniaus m. Radviliškio g. 14-3",27859.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Radviliškio g. 14-3,https://www.eaukcionai.lt/evs/pages/auction.do?id=336525&number=335338,Paskelbtas,Apartments,2026-09-08 17:50:08
335341,"Butas 2 kamb., 40,12 kv. m Vilniaus m. sav. Vilniaus m. Rudaminos g. 4-9",34498.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Rudaminos g. 4-9,https://www.eaukcionai.lt/evs/pages/auction.do?id=336526&number=335341,Paskelbtas,Apartments,2026-09-08 17:50:08
335343,"Neįrengta pastogė 2396/37543 dalis, 375,43 kv. m Vilniaus m. sav. Vilniaus m. Smėlio g. 23",5651.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Smėlio g. 23,https://www.eaukcionai.lt/evs/pages/auction.do?id=336527&number=335343,Paskelbtas,Apartments,2026-09-08 17:50:08
335345,"Butas 3 kamb., 42,75 kv. m Vilniaus m. sav. Vilniaus m. Subačiaus g. 111-1",61431.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Subačiaus g. 111-1,https://www.eaukcionai.lt/evs/pages/auction.do?id=336528&number=335345,Paskelbtas,Apartments,2026-09-08 17:50:08
335347,"Butas 3 kamb., 130,39 kv. m Vilniaus m. sav. Vilniaus m. Subačiaus g. 49-24",214434.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Subačiaus g. 49-24,https://www.eaukcionai.lt/evs/pages/auction.do?id=336529&number=335347,Paskelbtas,Apartments,2026-09-08 17:50:08
335349,"Garažas (boksas), 22,38 kv. m Vilniaus m. sav. Vilniaus m. Tauro g. 10A-3",34000.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Tauro g. 10A-3,https://www.eaukcionai.lt/evs/pages/auction.do?id=336530&number=335349,Paskelbtas,Apartments,2026-09-08 17:50:08
